Node,Country,Field of Study,Sex,Language,Appointed Supervisor,Friend1,Friend2,Friend3,Friend4,Friend5,Friend6,Friend7,Friend8
1,Nigeria,Financial Mathematics,F,English,No,,3,27,17,,,,
2,Ghana,Mathematics,F,English,No,21,22,6,25,5,,37,34
3,Nigeria,Applied,F,English,No,35,9,1,8,,,,
4,Nigeria,Mathematics,F,English,Yes,35,26,7,39,27,17,24,38
5,Burundi,Pure Mathematics,F,French,Yes,22,14,2,19,29,30,34,31
6,Tanzania,Pure Mathematics,F,English,No,13,10,12,22,25,2,15,14
7,Nigeria,Mathematics,M,English,No,26,27,,,,,,
8,Sudan,Physics,F,Arabic,No,9,34,16,31,,,,
9,Sudan,Computer Science,F,Arabic,No,8,34,35,28,2,13,5,26
10,Tanzania,Mathematics,M,French,No,19,13,27,17,12,6,,
11,Ethiopia,Mathematics,M,English,No,25,41,,,,,,
12,Tanzania,Physics,M,French,No,13,35,19,5,37,10,6,32
13,Tanzania,Applied,M,French,No,12,6,10,32,24,19,,
14,Burundi,Financial Mathematics,M,French,No,5,22,26,39,15,12,,
15,Kenya,Financial Mathematics,M,English,No,39,13,6,7,26,38,27,17
16,Chad,Mathematics,M,Arabic,No,,,,,,,,
17,Nigeria,Applied,F,English,No,27,12,10,7,19,3,1,4
18,South Africa,Financial Mathematics,F,English,?,39,,15,,,,,
19,Tanzania,Mathematics,F,English,No,12,,10,13,5,,,
20,Egypt,Physics,M,Arabic,No,,,,,,,,
21,Sudan,Physics,F,Arabic,No,34,37,,,,,,
22,Congo,Applied,F,French,No,5,14,34,37,21,38,,9
23,South Africa,Statistics,F,English,Yes,36,37,,28,,,,
24,Kenya,Computer Science,M,English,No,36,,,,,,,
25,Malawi,Mathematics,M,English,No,24,6,11,15,,,,
26,Ghana,Statistics,M,English,Yes,7,5,35,19,,,,
27,Nigeria,Mathematics,F,English,No,17,4,7,10,12,1,3,
28,Madagascar,Physics,M,French,Yes,29,31,30,32,33,23,13,40
29,Madagascar,Physics,M,French,No,30,28,33,32,,9,,5
30,Madagascar,Mathematics,M,French,No,23,39,,,24,15,,28
31,Madagascar,Computer Science,M,French,No,8,30,22,35,,1,,
32,Madagascar,Pure Mathematics,F,French,No,28,30,29,33,13,37,12,6
33,Madagascar,Mathematics,M,French,No,29,28,30,34,,26,,15
34,Egypt,Physics,F,Arabic,No,21,5,22,37,8,9,20,33
35,Zambia,Statistics,F,English,No,4,26,7,12,36,39,,
36,Zambia,Statistics,M,English,No,23,24,,,,,,
37,Sudan,Applied,F,Arabic,No,21,23,32,,12,36,10,22
38,DRC,Applied,M,French,No,,18,23,,,,,
39,Kenya,Pure Mathematics,M,English,No,15,40,14,24,4,35,27,17
40,Ghana,Mathematics,M,English,No,26,39,,2,38,,,
41,Ethiopia,Mathematics,F,English,No,,35,23,5,32,12,13,6
